Atualizado em: 2025-01-27
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"4";"0";"0";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBPV";"GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL)";"4";"0";"0";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBSI";"PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL)";"31";"3,23";"10";"3,33"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBSO";"REGIONAL DE SORRISO ADOLINO BEDIN(MT, BRASIL)";"12";"16,67";"10";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"62";"1,61";"8,2";"1,64"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBSR";"PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL)";"3";"0";"33,33";"33,33"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBVH";"BRIGADEIRO CAMARÃO(RO, BRASIL)";"7";"0";"0";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SSKW";"CACOAL(RO, BRASIL)";"9";"0";"11,11";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SSOU";"ARIPUANÃ(MT, BRASIL)";"18";"27,78";"30,77";"7,69"
"SBCZ";"CRUZEIRO DO SUL(AC, BRASIL)";"SBRB";"PLÁCIDO DE CASTRO(AC, BRASIL)";"16";"0";"6,25";"0"
"SBDB";"BONITO(MS, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"18";"0";"5,56";"0"
"SBDB";"BONITO(MS, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"11";"0";"9,09";"0"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"27";"0";"14,81";"11,11"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"58";"10,34";"21,15";"7,69"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"4";"0";"0";"0"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"8";"0";"0";"0"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"4";"0";"25";"25"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"5";"0";"40";"0"
"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"80";"3,75";"6,49";"2,6"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"5";"0";"20";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"5";"0";"0";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"MPTO";"TOCUMEN INTL(PANAMÁ)";"17";"0";"0";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"85";"4,71";"17,28";"8,64"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"115";"0,87";"6,14";"0,88"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBBV";"ATLAS BRASIL CANTANHEDE(RR, BRASIL)";"30";"0";"3,33";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"30";"0";"6,67";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"44";"0";"4,55";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"39";"0";"0";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"183";"0,55";"18,68";"3,3"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBIH";"ITAITUBA(PA, BRASIL)";"17";"5,88";"6,25";"6,25"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"93";"3,23";"11,11";"1,11"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBMY";"MANICORÉ(AM, BRASIL)";"8";"12,5";"14,29";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBPV";"GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL)";"30";"0";"6,67";"6,67"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBRB";"PLÁCIDO DE CASTRO(AC, BRASIL)";"15";"0";"6,67";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"30";"3,33";"6,9";"3,45"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBSN";"MAESTRO WILSON FONSECA(PA, BRASIL)";"65";"6,15";"11,48";"1,64"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBTB";"TROMBETAS(PA, BRASIL)";"3";"33,33";"0";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBTF";"TEFÉ(AM, BRASIL)";"30";"3,33";"10,34";"10,34"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBTT";"TABATINGA(AM, BRASIL)";"31";"6,45";"10,34";"6,9"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SBUA";"SÃO GABRIEL DA CACHOEIRA(AM, BRASIL)";"13";"23,08";"20";"20"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"18";"0";"11,11";"11,11"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWBR";"BORBA(AM, BRASIL)";"9";"11,11";"12,5";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWEI";"EIRUNEPÉ(AM, BRASIL)";"15";"20";"16,67";"16,67"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWKO";"COARI(AM, BRASIL)";"16";"50";"37,5";"25"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWLB";"LÁBREA(AM, BRASIL)";"9";"0";"11,11";"0"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWMW";"MAUÉS(AM, BRASIL)";"8";"0";"25";"25"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWPI";"JÚLIO BÉLEM(AM, BRASIL)";"21";"9,52";"21,05";"10,53"
"SBEG";"EDUARDO GOMES(AM, BRASIL)";"SWYN";"PRAINHA(AM, BRASIL)";"9";"33,33";"33,33";"33,33"
"SBFI";"CATARATAS(PR, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"4";"25";"0";"0"
"SBFI";"CATARATAS(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"91";"2,2";"14,61";"4,49"
"SBFI";"CATARATAS(PR, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"18";"5,56";"11,76";"5,88"
"SBFI";"CATARATAS(PR, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"149";"0,67";"5,41";"2,7"
"SBFI";"CATARATAS(PR, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"212";"2,36";"9,18";"2,9"
"SBFI";"CATARATAS(PR, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"74";"13,51";"21,88";"9,38"
"SBFI";"CATARATAS(PR, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"7";"0";"42,86";"0"
"SBFI";"CATARATAS(PR, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"4";"0";"0";"0"
"SBFI";"CATARATAS(PR, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"84";"2,38";"14,63";"8,54"
"SBFI";"CATARATAS(PR, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"6";"83,33";"0";"0"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"LPPT";"LISBOA(PORTUGAL)";"13";"0";"7,69";"7,69"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"MPTO";"TOCUMEN INTL(PANAMÁ)";"17";"0";"5,88";"5,88"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"81";"22,22";"22,22";"9,52"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"60";"23,33";"13,04";"10,87"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"47";"0";"4,26";"2,13"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"42";"0";"7,14";"0"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBCH";"SERAFIN ENOSS BERTASO(SC, BRASIL)";"31";"0";"12,9";"0"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"16";"0";"0";"0"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBFI";"CATARATAS(PR, BRASIL)";"18";"5,56";"23,53";"5,88"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"134";"0";"10,45";"2,99"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"259";"1,54";"11,37";"2,75"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"150";"10";"9,63";"3,7"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBPK";"PELOTAS(RS, BRASIL)";"13";"0";"30,77";"0"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"5";"0";"20";"20"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBSM";"SANTA MARIA(RS, BRASIL)";"13";"0";"61,54";"23,08"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"488";"1,64";"15,42";"7,29"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"175";"16,57";"13,7";"5,48"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"8";"0";"37,5";"25"
"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"18";"0";"5,56";"0"
"SBFN";"FERNANDO DE NORONHA(PE, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"252";"0";"3,57";"0,79"
"SBFN";"FERNANDO DE NORONHA(PE, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"4";"25";"0";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"4";"0";"25";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"22";"0";"22,73";"22,73"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"22";"0";"4,55";"4,55"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"LPPT";"LISBOA(PORTUGAL)";"36";"0";"11,11";"2,78"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"9";"0";"22,22";"11,11"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"91";"3,3";"5,68";"4,55"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"145";"0";"2,76";"0,69"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"70";"1,43";"20,29";"4,35"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"43";"0";"6,98";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"150";"0";"6";"0,67"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"309";"1,29";"9,18";"3,93"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBJE";"JERICOACORA(CE, BRASIL)";"13";"15,38";"18,18";"18,18"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBJU";"ORLANDO BEZERRA DE MENEZES(CE, BRASIL)";"30";"0";"10";"3,33"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"80";"3,75";"25,97";"10,39"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"170";"2,35";"6,63";"3,01"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"31";"0";"3,23";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBSL";"MARECHAL CUNHA MACHADO(MA, BRASIL)";"31";"0";"0";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"190";"1,05";"11,7";"1,6"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"87";"0";"4,6";"3,45"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"31";"0";"9,68";"3,23"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"9";"0";"22,22";"22,22"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"4";"0";"0";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SN6L";"VIRGÍLIO TÁVORA(CE, BRASIL)";"9";"33,33";"0";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SNIG";"IGUATU(CE, BRASIL)";"9";"33,33";"0";"0"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SNWS";"DOUTOR LÚCIO LIMA(CE, BRASIL)";"9";"11,11";"12,5";"12,5"
"SBFZ";"PINTO MARTINS(CE, BRASIL)";"SWBE";"WALFRIDO SAMITO DE ALMEIDA(CE, BRASIL)";"9";"11,11";"12,5";"12,5"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"21";"33,33";"14,29";"7,14"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"31";"0";"0";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"31";"0";"9,68";"6,45"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"20";"0";"10";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"9,68";"100";"100"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KIAH";"GEORGE BUSH INTERCONTINENTAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"32";"6,25";"10";"6,67"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"42";"2,38";"75,61";"73,17"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"52";"17,31";"41,86";"13,95"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"18";"5,56";"47,06";"23,53"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"42";"26,19";"6,45";"3,23"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"LIRF";"LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT)(ITÁLIA)";"31";"0";"3,23";"3,23"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"LPPR";"PORTO(PORTUGAL)";"7";"0";"14,29";"14,29"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"LPPT";"LISBOA(PORTUGAL)";"51";"1,96";"6";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"MPTO";"TOCUMEN INTL(PANAMÁ)";"80";"0";"3,75";"1,25"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"OMDB";"DUBAI(EMIRADOS ÁRABES UNIDOS)";"22";"0";"18,18";"4,55"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SAAR";"ROSARIO - ISLAS MALVINAS INTERNATIONAL AIRPORT(ARGENTINA)";"14";"7,14";"7,69";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"170";"8,82";"7,74";"2,58"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SACO";"INGENIERO AMBROSIO L.V. TARAVELLA INTERNATIONAL AIRPORT(ARGENTINA)";"27";"3,7";"3,85";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"206";"7,28";"13,61";"5,76"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBAR";"SANTA MARIA(SE, BRASIL)";"53";"0";"7,55";"3,77"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"27";"0";"14,81";"3,7"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"119";"0";"7,56";"1,68"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"273";"4,03";"15,65";"6,11"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"158";"0";"10,13";"2,53"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"37";"0";"5,41";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBFI";"CATARATAS(PR, BRASIL)";"149";"0,67";"4,73";"2,03"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"133";"0";"6,77";"3,01"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"150";"0";"5,33";"2"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"38";"0";"7,89";"5,26"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"378";"1,06";"12,03";"4,01"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"54";"0";"5,56";"1,85"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"225";"12,44";"15,23";"4,57"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"70";"0";"5,71";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBNF";"MINISTRO VICTOR KONDER(SC, BRASIL)";"97";"0";"5,15";"2,06"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"223";"0";"5,83";"2,24"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"35";"0";"5,71";"5,71"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"318";"3,14";"8,77";"2,27"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"89";"0";"3,37";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBSJ";"PROFESSOR URBANO ERNESTO STUMPF(SP, BRASIL)";"13";"0";"7,69";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBSL";"MARECHAL CUNHA MACHADO(MA, BRASIL)";"9";"0";"0";"0"
